| new Consumer<CartItem>(...) { ... }         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17   | accept                        | accept(CartItem)                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:34:46:17    |
| App                                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16                  | App                           | App()                              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16                   |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | toString                      | toString()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:30:77:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | hashCode                      | hashCode()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:16:62:23            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:27:67:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | equals                        | equals(Object)                     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:37:59:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | getSubtotal                   | getSubtotal()                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:19:45:29            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:33:47:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | getQuantity                   | getQuantity()                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:16:38:26            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:30:40:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | getPrice                      | getPrice()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:19:34:26            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:30:36:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | getName                       | getName()                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:19:30:25            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:29:32:5             |
| CartItem                                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27             | CartItem                      | CartItem(String, double, int)      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:13:12:13:19            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:13:62:28:5             |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testEquality                  | testEquality()                     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:70:10:70:21        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:70:25:77:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testSubtotalCalculation       | testSubtotalCalculation()          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:63:10:63:32        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:63:36:66:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testNegativeQuantityThrows    | testNegativeQuantityThrows()       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:55:10:55:35        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:55:39:59:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testZeroQuantityThrows        | testZeroQuantityThrows()           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:47:10:47:31        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:47:35:51:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testNegativePriceThrows       | testNegativePriceThrows()          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:39:10:39:32        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:39:36:43:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testEmptyNameThrows           | testEmptyNameThrows()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:31:10:31:28        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:31:32:35:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testNullNameThrows            | testNullNameThrows()               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:23:10:23:27        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:23:31:27:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | testCreateValidItem           | testCreateValidItem()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:12:10:12:28        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:12:32:19:5         |
| CartItemTest                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18          | CartItemTest                  | CartItemTest()                     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18           |
| DiscountType                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28    | DiscountType                  | DiscountType()                     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28     |
| DiscountType                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28    | <clinit>                      | <clinit>()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28     |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | <obinit>                      | <obinit>()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28       |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | reset                         | reset()                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:84:17:84:21     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:84:25:87:5      |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | hasDiscount                   | hasDiscount()                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:77:20:77:30     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:77:34:79:5      |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | getDiscountDescription        | getDiscountDescription()           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:44:72:5      |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | calculateDiscount             | calculateDiscount(double)          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:19:37:35     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:54:54:5      |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | withDiscount                  | withDiscount(DiscountType, double) | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:74:32:5      |
| DiscountService                             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28      | DiscountService               | DiscountService()                  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:22:12:22:26     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:22:30:23:5      |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testReset                     | testReset()                        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:91:10:91:18 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:91:22:100:5 |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testDiscountDescriptions      | testDiscountDescriptions()         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:72:10:72:33 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:72:37:87:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testZeroSubtotal              | testZeroSubtotal()                 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:62:10:62:25 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:62:29:68:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testPercentageDiscount        | testPercentageDiscount()           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:51:10:51:31 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:51:35:58:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testFixedDiscountCap          | testFixedDiscountCap()             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:42:10:42:29 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:42:33:47:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testFixedAmountDiscount       | testFixedAmountDiscount()          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:31:10:31:32 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:31:36:38:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testVipDiscount               | testVipDiscount()                  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:20:10:20:24 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:20:28:27:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | testNoDiscount                | testNoDiscount()                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:12:10:12:23 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:12:27:16:5  |
| DiscountServiceTest                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25   | DiscountServiceTest           | DiscountServiceTest()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25    |
| ReceiptGenerator                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29     | generateSummary               | generateSummary(ShoppingCart)      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:82:19:82:33    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:82:54:90:5     |
| ReceiptGenerator                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29     | generate                      | generate(ShoppingCart)             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:47:77:5     |
| ReceiptGenerator                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29     | ReceiptGenerator              | ReceiptGenerator()                 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29      |
| ReceiptGenerator                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29     | <clinit>                      | <clinit>()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29      |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | toString                      | toString()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:19:113:26      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:30:121:5       |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | clear                         | clear()                            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:107:17:107:21      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:107:25:110:5       |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | hasDiscount                   | hasDiscount()                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:100:20:100:30      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:100:34:102:5       |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getDiscountService            | getDiscountService()               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:93:28:93:45        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:93:49:95:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getTotal                      | getTotal()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:86:19:86:26        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:86:30:88:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getDiscountAmount             | getDiscountAmount()                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:79:19:79:35        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:79:39:81:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getSubtotal                   | getSubtotal()                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:72:19:72:29        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:72:33:74:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getItemCount                  | getItemCount()                     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:65:16:65:27        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:65:31:67:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | isEmpty                       | isEmpty()                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:58:20:58:26        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:58:30:60:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | getItems                      | getItems()                         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:51:27:51:34        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:51:38:53:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | removeItem                    | removeItem(String)                 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:42:20:42:29        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:42:48:46:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | addItem                       | addItem(CartItem)                  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:40:37:5         |
| ShoppingCart                                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25       | ShoppingCart                  | ShoppingCart(DiscountService)      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:23:12:23:23        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:23:58:27:5         |
