| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:9:9:9:58                    | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:9:28:9:57                   | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:29:9:29:53                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:29:22:29:52                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:31:9:31:50                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:31:28:31:49                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:31:28:31:49                 | generate          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:31:45:31:48                 | generate(ShoppingCart)                          | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | generate          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26                    | ReceiptGenerator     |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:34:9:34:68                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:34:28:34:67                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:36:9:36:96                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:36:48:36:88                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:36:9:36:96                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:36:91:36:95                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:37:9:37:58                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:37:22:37:57                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:38:9:38:57                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:38:22:38:56                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:40:9:40:50                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:40:28:40:49                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:40:28:40:49                 | generate          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:40:45:40:48                 | generate(ShoppingCart)                          | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | generate          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26                    | ReceiptGenerator     |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:43:9:43:62                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:43:28:43:61                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:45:9:45:91                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:45:48:45:86                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:45:9:45:91                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:45:89:45:90                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:46:9:46:55                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:46:22:46:54                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:48:9:48:50                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:48:28:48:49                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:48:28:48:49                 | generate          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:48:45:48:48                 | generate(ShoppingCart)                          | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | generate          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26                    | ReceiptGenerator     |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:50:9:50:51                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:50:28:50:50                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:57:13:57:38            | equals            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:57:25:57:37            | equals(Object)                                  | equals                        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25            | CartItem                             | equals            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:55:13:55:49            | compare           |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:55:28:55:41            | compare(double, double)                         | equals                        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25            | CartItem                             | compare           | file:///modules/java.base/java/lang/Double.class:0:0:0:0                                                                                           | Double               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:55:13:55:49            | compare           |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:55:44:55:48            | compare(double, double)                         | equals                        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25            | CartItem                             | compare           | file:///modules/java.base/java/lang/Double.class:0:0:0:0                                                                                           | Double               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:64:32:64:53            | hashCode          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:64:48:64:52            | hashCode(double)                                | hashCode                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:16:62:23            | CartItem                             | hashCode          | file:///modules/java.base/java/lang/Double.class:0:0:0:0                                                                                           | Double               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:65:32:65:57            | hashCode          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:65:49:65:56            | hashCode(int)                                   | hashCode                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:16:62:23            | CartItem                             | hashCode          | file:///modules/java.base/java/lang/Integer.class:0:0:0:0                                                                                          | Integer              |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:71:16:76:9             | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:72:13:72:58            | format(String, Object[])                        | toString                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26            | CartItem                             | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:71:16:76:9             | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:73:13:73:16            | format(String, Object[])                        | toString                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26            | CartItem                             | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:71:16:76:9             | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:74:13:74:17            | format(String, Object[])                        | toString                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26            | CartItem                             | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:71:16:76:9             | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:75:13:75:20            | format(String, Object[])                        | toString                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26            | CartItem                             | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:48:24:48:56     | min               |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:48:33:48:45     | min(double, double)                             | calculateDiscount             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:19:37:35     | DiscountService                      | min               | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                             | Math                 |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:48:24:48:56     | min               |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:48:48:48:55     | min(double, double)                             | calculateDiscount             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:19:37:35     | DiscountService                      | min               | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                             | Math                 |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:66:24:66:81     | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:66:38:66:65     | format(String, Object[])                        | getDiscountDescription        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40     | DiscountService                      | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:66:24:66:81     | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:66:68:66:80     | format(String, Object[])                        | getDiscountDescription        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40     | DiscountService                      | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:68:24:68:76     | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:68:38:68:60     | format(String, Object[])                        | getDiscountDescription        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40     | DiscountService                      | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:68:24:68:76     | format            |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:68:63:68:75     | format(String, Object[])                        | getDiscountDescription        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40     | DiscountService                      | format            | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                           | String               |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:20:9:20:41     | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:20:37:20:40    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:20:9:20:28     | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:20:19:20:27    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:21:9:21:46     | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:21:19:21:45    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:22:9:22:41     | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:22:37:22:40    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:22:9:22:28     | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:22:19:22:27    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:26:13:26:46    | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:26:23:26:45    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:28:13:28:33    | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:28:23:28:32    | append(String)                                  | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:29:13:46:18    | forEach           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17    | forEach(Consumer<? super CartItem>)             | generate                      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26    | ReceiptGenerator                     | forEach           | file:///modules/java.base/java/lang/Iterable.class:0:0:0:0                                                                                         | Iterable<CartItem>   |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:32:21:38:21    | append            |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:33:25:37:25    | append(String)                                  | accept                        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17    | new Consumer<CartItem>(...) { ... }  | append            | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                    | StringBuilder        |
